Locality,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Count 2010,Median 2010,Count 2011,Median 2011,Count 2012,Median 2012,Count 2013,Median 2013,Count 2014,Median 2014,Count 2015,Median 2015,Count 2016,Median 2016,Count 2017,Median 2017,Count 2018,Median 2018,Count 2019,Median 2019,Count 2020,Median 2020
Coburg,"$640,000 ","$611,000 ","$594,000 ","$633,000 ","$710,000 ","$778,000 ","$876,000 ","$1,000,000 ","$969,000 ","$935,500 ","$1,095,000 ",1083,$351 ,1225,$360 ,1350,$370 ,1318,$379 ,1383,$381 ,1350,$394 ,1363,$400 ,1447,$420 ,1429,$441 ,1422,$450 ,1330,$453 
Coburg North,"$533,000 ","$540,000 ","$489,500 ","$538,500 ","$600,000 ","$665,000 ","$780,000 ","$821,000 ","$814,000 ","$805,000 ","$912,500 ",745,$325 ,879,$340 ,907,$346 ,1003,$340 ,1047,$350 ,1100,$355 ,1173,$369 ,1240,$394 ,1290,$403 ,1259,$418 ,1204,$420 
Collingwood,"$751,500 ","$697,500 ","$734,000 ","$741,000 ","$775,000 ","$914,000 ","$920,000 ","$1,205,000 ","$1,110,000 ","$1,060,000 ","$1,158,000 ",695,$413 ,774,$432 ,721,$450 ,831,$460 ,1552,$439 ,1705,$435 ,2139,$448 ,1939,$458 ,1860,$479 ,1945,$495 ,2006,$483 
Craigieburn,"$365,000 ","$360,000 ","$350,000 ","$360,000 ","$362,000 ","$390,000 ","$425,000 ","$502,500 ","$547,000 ","$525,000 ","$567,500 ",709,$318 ,894,$330 ,1205,$329 ,1342,$320 ,1467,$330 ,1606,$333 ,1753,$344 ,1903,$353 ,2004,$373 ,2376,$385 ,2571,$390 
Cranbourne,"$327,000 ","$325,000 ","$313,000 ","$315,000 ","$331,500 ","$360,000 ","$406,000 ","$510,000 ","$540,000 ","$500,000 ","$520,000 ",1274,$291 ,1518,$316 ,1709,$326 ,1787,$334 ,1974,$345 ,2410,$351 ,2496,$364 ,3031,$376 ,3574,$380 ,4047,$386 ,4008,$390 
Croydon,"$465,000 ","$465,000 ","$450,000 ","$470,000 ","$525,000 ","$605,000 ","$695,000 ","$810,000 ","$792,500 ","$735,000 ","$787,500 ",1939,$311 ,2041,$333 ,2098,$340 ,2196,$341 ,2220,$351 ,2309,$361 ,2449,$374 ,2500,$384 ,2395,$399 ,2473,$408 ,2246,$415 
Dandenong,"$430,000 ","$400,500 ","$400,000 ","$405,000 ","$439,000 ","$485,000 ","$555,500 ","$619,000 ","$640,000 ","$601,000 ","$625,000 ",1438,$269 ,1650,$280 ,1798,$288 ,1911,$294 ,1879,$303 ,2166,$309 ,2269,$319 ,2233,$333 ,2141,$345 ,2129,$350 ,2091,$350 
Dandenong North,"$400,000 ","$395,000 ","$370,000 ","$390,000 ","$415,500 ","$481,000 ","$551,000 ","$633,500 ","$640,000 ","$606,500 ","$640,000 ",1204,$289 ,1247,$300 ,1261,$300 ,1331,$305 ,1306,$316 ,1314,$321 ,1321,$331 ,1354,$344 ,1383,$353 ,1389,$360 ,1252,$360 
Deer Park,"$355,000 ","$357,000 ","$345,000 ","$348,000 ","$365,000 ","$390,000 ","$441,000 ","$552,500 ","$580,000 ","$550,000 ","$580,000 ",1841,$279 ,1939,$288 ,2035,$290 ,2178,$294 ,2002,$303 ,2031,$310 ,2034,$320 ,2098,$335 ,2031,$349 ,1906,$354 ,1783,$359 
Doncaster,"$795,000 ","$770,000 ","$720,000 ","$850,000 ","$999,000 ","$1,176,000 ","$1,297,500 ","$1,366,500 ","$1,320,000 ","$1,260,000 ","$1,280,000 ",1124,$389 ,1214,$401 ,1435,$403 ,1448,$416 ,1397,$428 ,1511,$443 ,1764,$450 ,2018,$456 ,2059,$478 ,2201,$489 ,2083,$481 
Doncaster East,"$750,000 ","$720,000 ","$682,000 ","$789,000 ","$894,500 ","$1,113,500 ","$1,230,000 ","$1,360,000 ","$1,222,000 ","$1,198,000 ","$1,250,000 ",831,$378 ,834,$395 ,843,$400 ,849,$415 ,871,$425 ,937,$448 ,1040,$453 ,1047,$470 ,1031,$479 ,1099,$494 ,1055,$496 
Donvale,"$715,000 ","$712,500 ","$681,000 ","$735,000 ","$840,000 ","$964,000 ","$970,000 ","$1,201,000 ","$1,182,500 ","$1,140,000 ","$1,192,500 ",831,$378 ,834,$395 ,843,$400 ,849,$415 ,871,$425 ,937,$448 ,1040,$453 ,1047,$470 ,1031,$479 ,1099,$494 ,1055,$496 
Dromana,"$446,500 ","$455,000 ","$451,000 ","$462,000 ","$492,000 ","$552,000 ","$583,000 ","$690,000 ","$785,500 ","$715,000 ","$760,000 ",1651,$269 ,1663,$288 ,1801,$294 ,1941,$300 ,1933,$310 ,1937,$324 ,1906,$340 ,1910,$360 ,1987,$375 ,1938,$381 ,1878,$393 
East Melbourne,"$1,621,000 ","$1,737,500 ","$2,480,000 ","$1,790,000 ","$1,850,000 ","$2,750,000 ","$3,655,000 ","$3,585,000 ","$2,675,000 ","$3,413,500 ","$2,350,000 ",644,$413 ,568,$443 ,509,$457 ,518,$460 ,534,$463 ,506,$465 ,494,$476 ,524,$496 ,474,$503 ,571,$516 ,594,$528 
Elsternwick,"$1,240,000 ","$1,200,000 ","$1,155,000 ","$1,365,000 ","$1,315,000 ","$1,621,000 ","$1,723,500 ","$2,087,500 ","$1,970,000 ","$1,825,000 ","$2,101,500 ",574,$355 ,578,$370 ,685,$390 ,625,$390 ,611,$396 ,666,$399 ,666,$396 ,723,$415 ,723,$426 ,662,$448 ,689,$448 
Eltham,"$614,000 ","$625,000 ","$590,500 ","$631,500 ","$670,000 ","$750,000 ","$820,000 ","$930,000 ","$942,500 ","$925,000 ","$1,000,000 ",683,$346 ,689,$361 ,722,$364 ,726,$365 ,704,$379 ,726,$398 ,751,$403 ,695,$420 ,692,$445 ,658,$450 ,650,$456 
Elwood,"$1,350,000 ","$1,150,000 ","$1,287,500 ","$1,350,000 ","$1,412,500 ","$1,631,000 ","$1,830,000 ","$1,900,000 ","$2,140,000 ","$1,950,000 ","$2,050,000 ",1724,$360 ,1751,$382 ,1766,$391 ,1842,$391 ,1850,$393 ,1874,$399 ,1802,$405 ,1741,$420 ,1631,$435 ,1619,$450 ,1566,$448 
Endeavour Hills,"$400,000 ","$400,000 ","$390,000 ","$400,000 ","$432,000 ","$496,500 ","$550,000 ","$630,500 ","$651,000 ","$620,000 ","$671,000 ",1204,$289 ,1247,$300 ,1261,$300 ,1331,$305 ,1306,$316 ,1314,$321 ,1321,$331 ,1354,$344 ,1383,$353 ,1389,$360 ,1252,$360 
Epping,"$380,000 ","$385,000 ","$365,000 ","$366,500 ","$386,500 ","$400,000 ","$455,000 ","$556,000 ","$600,000 ","$546,000 ","$576,500 ",1666,$325 ,1872,$331 ,2081,$331 ,2163,$330 ,2181,$330 ,2179,$335 ,2237,$345 ,2204,$355 ,2128,$368 ,2117,$371 ,2049,$379 
Essendon,"$952,000 ","$895,000 ","$920,000 ","$870,000 ","$942,000 ","$1,228,000 ","$1,365,000 ","$1,402,000 ","$1,682,000 ","$1,448,500 ","$1,485,000 ",1574,$325 ,1725,$336 ,1895,$350 ,1974,$350 ,2021,$350 ,2141,$357 ,2296,$370 ,2381,$388 ,2340,$400 ,2328,$411 ,2302,$414 
Fairfield,"$810,000 ","$800,000 ","$825,000 ","$915,000 ","$945,000 ","$1,111,500 ","$1,303,000 ","$1,496,000 ","$1,316,000 ","$1,295,000 ","$1,395,500 ",551,$313 ,567,$323 ,644,$329 ,653,$343 ,671,$349 ,648,$345 ,703,$368 ,664,$383 ,703,$405 ,675,$444 ,648,$435 
Fawkner,"$460,000 ","$439,000 ","$406,500 ","$410,000 ","$444,000 ","$510,000 ","$587,500 ","$705,000 ","$720,000 ","$665,000 ","$710,000 ",1267,$313 ,1444,$328 ,1586,$327 ,1659,$323 ,1652,$333 ,1711,$344 ,1817,$350 ,1917,$365 ,2017,$383 ,2017,$395 ,1957,$400 
Ferntree Gully,"$449,000 ","$430,500 ","$429,500 ","$451,000 ","$505,000 ","$599,000 ","$660,000 ","$749,000 ","$732,500 ","$692,000 ","$750,000 ",439,$313 ,478,$325 ,560,$323 ,515,$336 ,514,$344 ,513,$353 ,552,$370 ,604,$386 ,614,$399 ,632,$403 ,547,$418 
Fitzroy,"$805,500 ","$880,000 ","$918,500 ","$945,000 ","$1,130,000 ","$1,297,500 ","$1,600,000 ","$1,625,000 ","$1,450,000 ","$1,400,000 ","$1,397,500 ",627,$451 ,677,$473 ,697,$486 ,691,$495 ,692,$506 ,702,$506 ,775,$514 ,627,$531 ,643,$559 ,644,$591 ,688,$564 
Fitzroy North,"$900,000 ","$855,000 ","$868,000 ","$976,000 ","$1,014,000 ","$1,188,000 ","$1,279,000 ","$1,450,000 ","$1,475,000 ","$1,385,000 ","$1,595,000 ",880,$435 ,904,$455 ,1049,$465 ,1043,$489 ,1089,$495 ,1098,$500 ,1170,$503 ,1117,$525 ,1017,$550 ,1112,$565 ,1049,$553 
Flemington,"$670,000 ","$655,000 ","$652,000 ","$735,500 ","$730,000 ","$830,000 ","$918,000 ","$1,100,000 ","$926,500 ","$1,000,000 ","$1,035,000 ",1237,$365 ,1376,$375 ,1407,$381 ,1620,$384 ,1557,$389 ,1582,$396 ,1541,$400 ,1490,$411 ,1576,$423 ,1604,$440 ,1437,$440 
Flinders,"$760,000 ","$822,000 ","$710,000 ","$765,000 ","$808,000 ","$839,000 ","$1,225,000 ","$1,525,000 ","$1,697,500 ","$1,670,000 ","$2,085,000 ",964,$276 ,977,$298 ,1100,$300 ,1123,$301 ,1117,$315 ,1071,$321 ,955,$338 ,900,$355 ,806,$373 ,826,$388 ,794,$405 
Footscray,"$574,000 ","$568,000 ","$568,000 ","$600,000 ","$645,000 ","$690,500 ","$775,000 ","$882,000 ","$899,000 ","$812,000 ","$880,000 ",1011,$298 ,1103,$308 ,1244,$321 ,1294,$324 ,1343,$330 ,1457,$330 ,1367,$346 ,1403,$361 ,1457,$371 ,1381,$383 ,1535,$383 
Forest Hill,"$620,000 ","$560,000 ","$565,000 ","$650,500 ","$721,000 ","$892,000 ","$933,500 ","$1,060,000 ","$935,000 ","$900,000 ","$986,000 ",668,$362 ,741,$379 ,784,$384 ,837,$387 ,831,$398 ,858,$410 ,892,$420 ,962,$431 ,951,$450 ,1008,$455 ,956,$460 
Frankston,"$367,000 ","$357,000 ","$340,000 ","$350,000 ","$372,000 ","$426,000 ","$474,000 ","$600,000 ","$605,000 ","$581,000 ","$621,500 ",2744,$275 ,2665,$293 ,2814,$297 ,2772,$300 ,2885,$304 ,2876,$315 ,2831,$329 ,2757,$344 ,2834,$356 ,2697,$362 ,2616,$371 
Gladstone Park,"$426,500 ","$385,000 ","$380,000 ","$392,500 ","$400,000 ","$460,000 ","$525,000 ","$645,000 ","$630,000 ","$636,500 ","$640,000 ",503,$300 ,564,$313 ,640,$323 ,642,$320 ,610,$330 ,655,$335 ,586,$344 ,585,$360 ,619,$378 ,638,$386 ,650,$391 
Glen Iris,"$1,320,000 ","$1,200,000 ","$1,200,000 ","$1,310,000 ","$1,500,000 ","$1,800,000 ","$1,935,000 ","$2,025,000 ","$1,927,500 ","$1,961,000 ","$2,125,000 ",1435,$387 ,1540,$405 ,1628,$418 ,1646,$425 ,1723,$425 ,1848,$430 ,1913,$443 ,1910,$459 ,1896,$489 ,1826,$500 ,1685,$497 
Glen Waverley,"$735,000 ","$718,000 ","$720,000 ","$815,000 ","$960,000 ","$1,212,500 ","$1,221,000 ","$1,337,500 ","$1,300,000 ","$1,285,500 ","$1,295,000 ",1581,$381 ,1673,$399 ,1774,$408 ,1679,$419 ,1833,$425 ,1870,$439 ,1985,$453 ,1962,$465 ,1984,$479 ,1955,$498 ,2058,$499 
Glenroy,"$508,500 ","$457,500 ","$437,500 ","$454,000 ","$500,000 ","$560,000 ","$600,000 ","$730,000 ","$725,000 ","$700,000 ","$740,000 ",1267,$313 ,1444,$328 ,1586,$327 ,1659,$323 ,1652,$333 ,1711,$344 ,1817,$350 ,1917,$365 ,2017,$383 ,2017,$395 ,1957,$400 
