Locality,2010_x,2011_x,2012_x,2013_x,2014_x,2015_x,2016_x,2017_x,2018_x,2019_x,2020_x,change 2010-2020,Growth PA,2010_y,2011_y,2012_y,2013_y,2014_y,2015_y,2016_y,2017_y,2018_y,2019_y,2020_y
Greensborough,530000,519000,491000,534000,574000,635000,717000,830000,815000,798000,850000,60,4.8,$330 ,$350 ,$350 ,$340 ,$350 ,$350 ,$360 ,$370 ,$390 ,$400 ,$400 
Hampton,1295000,1282500,1200000,1270000,1340000,1650000,1800000,2022500,1905000,1900000,2000000,54,4.4,$475 ,$488 ,$500 ,$495 ,$500 ,$495 ,$525 ,$525 ,$550 ,$595 ,$585 
Hampton Park,333000,335000,320000,330000,337500,370000,410000,505000,550000,502000,539000,62,4.9,$300 ,$320 ,$330 ,$330 ,$340 ,$340 ,$350 ,$360 ,$370 ,$380 ,$380 
Hastings,355000,350000,347000,345000,368000,365000,400000,507500,519500,506000,562000,58,4.7,$275 ,$300 ,$300 ,$300 ,$310 ,$320 ,$340 ,$350 ,$370 ,$385 ,$400 
Hawthorn,1430000,1330000,1405000,1575000,1606500,1916500,2245000,2650000,2506500,2200000,2492500,74,5.7,$340 ,$350 ,$350 ,$350 ,$350 ,$365 ,$370 ,$380 ,$400 ,$410 ,$420 
Heidelberg,815000,770000,750000,772500,840500,1060000,1150000,1280000,1114000,1107500,1300000,60,4.8,$330 ,$340 ,$350 ,$350 ,$360 ,$360 ,$370 ,$390 ,$410 ,$420 ,$420 
Heidelberg West,475000,420000,400000,425500,461000,580000,630000,730500,700000,671500,713000,50,4.1,$330 ,$340 ,$350 ,$350 ,$360 ,$360 ,$370 ,$390 ,$410 ,$420 ,$420 
Hoppers Crossing,327500,328000,312500,321500,340000,365500,415000,516000,552000,526500,550000,68,5.3,$275 ,$285 ,$290 ,$290 ,$300 ,$310 ,$320 ,$340 ,$360 ,$370 ,$370 
Hughesdale,838000,740000,741500,820000,856000,1165000,1222500,1407000,1260000,1150500,1250000,49,4.1,$340 ,$350 ,$360 ,$360 ,$360 ,$385 ,$395 ,$400 ,$420 ,$430 ,$440 
Hurstbridge,491000,457500,445000,482000,482000,547500,614500,714000,731000,700000,775000,58,4.7,$330 ,$350 ,$350 ,$340 ,$350 ,$350 ,$360 ,$370 ,$390 ,$400 ,$400 
Ivanhoe,1032500,980000,907500,1100000,1203000,1125000,1400000,1515000,1600000,1580000,1630000,58,4.7,$350 ,$365 ,$390 ,$380 ,$400 ,$410 ,$420 ,$450 ,$450 ,$465 ,$460 
