Locality 0,Locality,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
WEDDERBURN,Wedderburn,"$140,000 ","$123,000 ","$122,500 ","$154,000 ","$137,500 ","$110,000 ","$150,000 ","$155,000 ","$130,000 ","$138,500 ","$150,000 "
WENDOUREE,Wendouree,"$230,000 ","$235,000 ","$236,500 ","$243,000 ","$247,000 ","$250,000 ","$252,500 ","$267,500 ","$326,000 ","$335,000 ","$370,000 "
WENDOUREE WEST,Wendouree West,"$186,000 ","$166,000 ","$167,500 ","$200,000 ","$165,000 ","$207,500 ","$185,000 ","$200,000 ","$245,000 ","$259,000 ","$300,000 "
WERRIBEE,Werribee,"$308,500 ","$315,000 ","$300,000 ","$309,000 ","$315,000 ","$335,000 ","$403,000 ","$470,000 ","$510,000 ","$505,000 ","$523,000 "
WERRIBEE SOUTH,Werribee South,"$399,000 ","$436,000 ","$440,000 ","$538,000 ","$585,000 ","$680,000 ","$540,000 ","$650,000 ","$735,000 ","$744,500 ","$650,000 "
WEST FOOTSCRAY,West Footscray,"$558,500 ","$525,000 ","$532,500 ","$553,000 ","$637,500 ","$697,000 ","$798,000 ","$887,500 ","$875,000 ","$785,000 ","$835,000 "
WEST MELBOURNE,West Melbourne,"$816,000 ","$885,000 ","$720,000 ","$905,000 ","$916,000 ","$1,005,000 ","$1,104,500 ","$1,350,000 ","$1,370,000 ","$1,017,500 ","$1,215,000 "
WEST WODONGA,West Wodonga,"$283,000 ","$275,000 ","$267,500 ","$272,500 ","$296,000 ","$306,000 ","$308,500 ","$321,000 ","$322,000 ","$342,500 ","$370,000 "
WESTALL,Westall,"$510,000 ","$490,000 ","$475,500 ","$513,500 ","$550,000 ","$610,000 ","$696,000 ","$780,000 ","$800,000 ","$741,000 ","$739,000 "
WESTGARTH,Westgarth,"$891,500 ","$951,000 ","$840,000 ","$920,000 ","$1,100,000 ","$1,300,000 ","$1,500,000 ","$1,383,000 ","$1,707,500 ","$1,492,500 ","$1,566,000 "
WESTMEADOWS,Westmeadows,"$410,000 ","$397,500 ","$377,500 ","$386,500 ","$419,000 ","$470,000 ","$500,000 ","$566,000 ","$620,000 ","$620,000 ","$610,500 "
WHEELERS HILL,Wheelers Hill,"$686,500 ","$650,000 ","$669,000 ","$740,000 ","$805,000 ","$999,000 ","$1,050,000 ","$1,160,000 ","$1,118,500 ","$1,010,000 ","$1,172,000 "
WHITE HILLS,White Hills,"$253,500 ","$265,000 ","$275,000 ","$280,000 ","$306,000 ","$297,500 ","$305,000 ","$300,000 ","$313,500 ","$330,000 ","$350,000 "
WHITTINGTON,Whittington,"$245,000 ","$265,000 ","$252,000 ","$259,000 ","$262,000 ","$280,000 ","$265,000 ","$316,500 ","$395,000 ","$377,500 ","$404,000 "
WHITTLESEA,Whittlesea,"$345,000 ","$372,500 ","$365,000 ","$375,000 ","$375,000 ","$400,000 ","$448,500 ","$469,500 ","$577,500 ","$580,000 ","$610,000 "
WILLIAMS LANDING,Williams Landing,"$367,500 ","$371,000 ","$450,000 ","$470,000 ","$450,000 ","$510,000 ","$530,000 ","$600,000 ","$685,000 ","$657,000 ","$685,000 "
WILLIAMSTOWN,Williamstown,"$884,000 ","$900,000 ","$901,000 ","$920,000 ","$970,000 ","$1,120,000 ","$1,282,500 ","$1,440,000 ","$1,415,000 ","$1,350,000 ","$1,370,000 "
WILLIAMSTOWN NORTH,Williamstown North,"$680,000 ","$839,000 ","$680,000 ","$768,000 ","$803,500 ","$862,500 ","$1,135,500 ","$1,024,000 ","$860,000 ","$950,000 ","$897,500 "
WIMBLEDON HEIGHTS,Wimbledon Heights,"$299,000 ","$259,000 ","$290,000 ","$271,500 ","$310,000 ","$291,500 ","$299,000 ","$334,000 ","$410,000 ","$386,500 ","$435,000 "
WINCHELSEA,Winchelsea,"$235,000 ","$260,000 ","$268,500 ","$287,000 ","$287,500 ","$262,000 ","$267,000 ","$357,000 ","$391,000 ","$430,000 ","$480,000 "
WINDSOR,Windsor,"$900,000 ","$824,000 ","$818,000 ","$835,000 ","$956,500 ","$1,094,000 ","$1,505,000 ","$1,420,000 ","$1,422,500 ","$1,350,000 ","$1,350,000 "
WINTER VALLEY,Winter Valley,"$325,000 ","$329,000 ","$353,500 ","$344,500 ","$360,000 ","$365,000 ","$362,500 ","$375,000 ","$405,000 ","$435,000 ","$470,000 "
WODONGA,Wodonga,"$262,000 ","$279,500 ","$255,500 ","$282,500 ","$295,000 ","$295,000 ","$315,000 ","$341,500 ","$350,000 ","$331,000 ","$348,000 "
WOLLERT,Wollert,"$425,000 ","$450,000 ","$410,000 ","$400,000 ","$395,000 ","$432,000 ","$460,000 ","$520,500 ","$550,000 ","$575,000 ","$583,000 "
WONGA PARK,Wonga Park,"$620,000 ","$672,500 ","$622,500 ","$674,500 ","$673,500 ","$735,000 ","$801,000 ","$962,500 ","$1,150,000 ","$1,111,000 ","$1,075,000 "
WONTHAGGI,Wonthaggi,"$275,000 ","$261,500 ","$229,000 ","$225,000 ","$251,000 ","$262,000 ","$265,000 ","$289,000 ","$339,000 ","$375,000 ","$390,000 "
WOODEND,Woodend,"$480,000 ","$475,000 ","$430,000 ","$470,000 ","$460,000 ","$482,500 ","$460,000 ","$560,000 ","$665,000 ","$747,500 ","$752,500 "
WOOLAMAI WATERS,Woolamai Waters,"$340,000 ","$350,000 ","$350,000 ","$349,000 ","$381,500 ","$340,000 ","$375,000 ","$418,000 ","$469,500 ","$495,500 ","$565,000 "
WOORI YALLOCK,Woori Yallock,"$300,000 ","$312,000 ","$315,000 ","$330,000 ","$317,000 ","$358,000 ","$391,500 ","$480,000 ","$520,000 ","$510,000 ","$552,000 "
WURRUK,Wurruk,"$175,500 ","$216,500 ","$235,000 ","$285,000 ","$222,000 ","$230,000 ","$259,500 ","$235,000 ","$310,000 ","$210,000 ","$267,000 "
WY YUNG,Wy Yung,"$289,000 ","$288,500 ","$325,000 ","$285,000 ","$285,000 ","$290,000 ","$333,500 ","$328,000 ","$315,000 ","$349,500 ","$369,500 "
WYCHEPROOF,Wycheproof,"$86,000 ","$86,000 ","$96,500 ","$95,000 ","$103,000 ","$100,000 ","$82,500 ","$100,000 ","$124,500 ","$141,500 ","$131,000 "
WYNDHAM VALE,Wyndham Vale,"$296,000 ","$290,000 ","$286,500 ","$288,000 ","$306,000 ","$325,000 ","$365,000 ","$435,500 ","$480,000 ","$465,000 ","$485,000 "
YACKANDANDAH,Yackandandah,"$289,500 ","$290,000 ","$272,500 ","$327,500 ","$318,000 ","$300,000 ","$392,500 ","$446,000 ","$472,500 ","$497,500 ","$440,000 "
YALLAMBIE,Yallambie,"$507,000 ","$506,000 ","$471,000 ","$532,500 ","$580,000 ","$665,000 ","$713,500 ","$781,000 ","$810,000 ","$792,500 ","$832,500 "
YALLOURN NORTH,Yallourn North,"$145,000 ","$139,000 ","$161,000 ","$135,000 ","$149,500 ","$153,000 ","$165,500 ","$180,000 ","$172,000 ","$191,000 ","$205,500 "
YARRA GLEN,Yarra Glen,"$415,000 ","$425,000 ","$395,000 ","$420,000 ","$460,000 ","$530,000 ","$540,000 ","$620,000 ","$670,000 ","$670,000 ","$724,000 "
YARRA JUNCTION,Yarra Junction,"$352,500 ","$365,000 ","$397,000 ","$406,500 ","$357,500 ","$417,500 ","$422,500 ","$535,000 ","$562,500 ","$582,500 ","$595,000 "
YARRAGON,Yarragon,"$206,000 ","$255,000 ","$266,000 ","$258,000 ","$297,000 ","$284,000 ","$300,000 ","$280,000 ","$390,000 ","$410,000 ","$414,000 "
YARRAM,Yarram,"$166,000 ","$195,500 ","$215,000 ","$190,000 ","$202,500 ","$245,000 ","$230,000 ","$225,000 ","$218,000 ","$240,000 ","$260,000 "
YARRAVILLE,Yarraville,"$647,000 ","$607,000 ","$613,000 ","$696,000 ","$710,000 ","$810,000 ","$900,500 ","$1,000,000 ","$1,045,000 ","$974,000 ","$1,038,500 "
YARRAWONGA,Yarrawonga,"$297,000 ","$270,000 ","$300,000 ","$302,500 ","$297,000 ","$300,500 ","$320,000 ","$324,500 ","$345,000 ","$375,000 ","$451,000 "
YEA,Yea,"$240,000 ","$270,000 ","$255,000 ","$260,000 ","$255,000 ","$260,000 ","$305,000 ","$386,500 ","$392,500 ","$441,000 ","$422,500 "
YINNAR,Yinnar,"$280,500 ","$208,000 ","$221,500 ","$220,000 ","$240,000 ","$182,500 ","$230,000 ","$270,000 ","$245,000 ","$255,000 ","$292,500 "
