,Locality,,Jun-10,,Jun-11,,Jun-12,,Jun-13,,Jun-14,,Jun-15,,Jun-16,,Jun-17,,Jun-18,,Jun-19,,Jun-20
,locality,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median,Count,Median
,Pascoe Vale-Coburg North,715,$320 ,886,$340 ,879,$345 ,"1,007",$340 ,"1,038",$350 ,"1,090",$350 ,"1,158",$365 ,"1,229",$390 ,"1,279",$400 ,"1,264",$420 ,"1,252",$420 
,Sunbury,713,$285 ,759,$300 ,907,$310 ,951,$310 ,928,$320 ,976,$330 ,887,$330 ,895,$340 ,952,$360 ,915,$375 ,945,$370 
,West Brunswick,730,$290 ,742,$300 ,920,$320 ,978,$327 ,"1,052",$325 ,"1,097",$330 ,"1,076",$340 ,"1,182",$350 ,"1,199",$365 ,"1,133",$380 ,"1,217",$400 
,Group Total,"11,648",$320 ,"12,979",$335 ,"14,690",$340 ,"15,371",$340 ,"15,792",$350 ,"16,547",$350 ,"17,409",$360 ,"18,120",$375 ,"18,392",$390 ,"18,975",$400 ,"19,191",$400 
North Eastern Melbourne,Bundoora-Greensborough-Hurstbridge,"2,246",$330 ,"2,568",$350 ,"3,041",$350 ,"3,069",$340 ,"3,165",$350 ,"3,116",$350 ,"3,393",$360 ,"3,377",$370 ,"3,268",$390 ,"3,332",$400 ,"3,148",$400 
,Eltham-Research-Montmorency,681,$340 ,684,$360 ,731,$360 ,720,$370 ,698,$370 ,732,$400 ,753,$400 ,703,$415 ,685,$440 ,661,$450 ,682,$450 
,Fairfield-Alphington,545,$310 ,565,$320 ,666,$330 ,631,$340 ,681,$350 ,641,$345 ,697,$365 ,659,$375 ,714,$400 ,671,$445 ,653,$440 
,Heidelberg-Heidelberg West,955,$330 ,974,$340 ,"1,116",$350 ,"1,105",$350 ,"1,123",$360 ,"1,278",$360 ,"1,229",$370 ,"1,328",$390 ,"1,426",$410 ,"1,363",$420 ,"1,396",$420 
,Ivanhoe-Ivanhoe East,538,$350 ,521,$365 ,523,$390 ,503,$380 ,522,$400 ,577,$410 ,586,$420 ,756,$450 ,728,$450 ,740,$465 ,763,$460 
,Mill Park-Epping,"1,603",$320 ,"1,839",$330 ,"2,102",$330 ,"2,136",$330 ,"2,191",$330 ,"2,190",$330 ,"2,230",$345 ,"2,226",$350 ,"2,157",$370 ,"2,071",$370 ,"2,139",$375 
,Northcote,929,$390 ,"1,003",$410 ,"1,101",$430 ,"1,106",$440 ,"1,276",$450 ,"1,279",$450 ,"1,344",$450 ,"1,377",$460 ,"1,411",$495 ,"1,376",$500 ,"1,217",$500 
,Preston,"1,161",$330 ,"1,216",$350 ,"1,366",$350 ,"1,500",$355 ,"1,400",$360 ,"1,480",$370 ,"1,657",$380 ,"1,704",$395 ,"1,658",$413 ,"1,546",$430 ,"1,704",$420 
,Reservoir,"1,593",$300 ,"1,740",$310 ,"1,844",$315 ,"2,053",$320 ,"1,986",$320 ,"1,986",$330 ,"2,052",$340 ,"2,097",$350 ,"2,136",$370 ,"2,078",$380 ,"2,104",$380 
